site,year,transect,substrate,n_points
sr30s,2024,2,macroalgae,5
sr30s,2024,2,sponge,1
sr30s,2024,2,other,25
sr30c,2024,1,hard coral,5
sr30c,2024,1,soft coral,0
sr30c,2024,1,macroalgae,5
sr30c,2024,1,sponge,0
sr30c,2024,1,other,30
sr30c,2024,2,hard coral,2
sr30c,2024,2,soft coral,10
sr30c,2024,2,macroalgae,9
sr30c,2024,2,sponge,3
sr30c,2024,2,other,16
sr30n,2024,1,hard coral,7
sr30n,2024,1,soft coral,0
sr30n,2024,1,macroalgae,12
sr30n,2024,1,sponge,2
sr30n,2024,1,other,19
sr30n,2024,2,hard coral,3
sr30n,2024,2,soft coral,6
sr30n,2024,2,macroalgae,14
sr30n,2024,2,sponge,4
sr30n,2024,2,other,13
sr_disease,2024,1,hard coral,3
sr_disease,2024,1,soft coral,1
sr_disease,2024,1,macroalgae,7
sr_disease,2024,1,sponge,1
sr_disease,2024,1,other,28
sr_disease,2024,2,hard coral,5
sr_disease,2024,2,soft coral,5
sr_disease,2024,2,macroalgae,7
sr_disease,2024,2,sponge,1
sr_disease,2024,2,other,22
cbc30n,2024,1,hard coral,4
cbc30n,2024,1,soft coral,4
cbc30n,2024,1,macroalgae,5
cbc30n,2024,1,sponge,0
cbc30n,2024,1,other,27
cbc30n,2024,2,hard coral,8
cbc30n,2024,2,soft coral,6
cbc30n,2024,2,macroalgae,3
cbc30n,2024,2,sponge,3
cbc30n,2024,2,other,20
cbc30c,2024,1,hard coral,2
cbc30c,2024,1,soft coral,3
cbc30c,2024,1,macroalgae,11
cbc30c,2024,1,sponge,0
cbc30c,2024,1,other,24
cbc30c,2024,2,hard coral,4
cbc30c,2024,2,soft coral,4
cbc30c,2024,2,macroalgae,3
cbc30c,2024,2,sponge,2
cbc30c,2024,2,other,27
cbc30s,2024,1,hard coral,8
cbc30s,2024,1,soft coral,1
cbc30s,2024,1,macroalgae,12
cbc30s,2024,1,sponge,3
cbc30s,2024,1,other,16
cbc30s,2024,2,hard coral,6
cbc30s,2024,2,soft coral,10
cbc30s,2024,2,macroalgae,3
cbc30s,2024,2,sponge,4
cbc30s,2024,2,other,17
southwater,2024,1,hard coral,3
southwater,2024,1,soft coral,2
southwater,2024,1,macroalgae,4
southwater,2024,1,sponge,2
southwater,2024,1,other,29
southwater,2024,2,hard coral,9
southwater,2024,2,soft coral,6
southwater,2024,2,macroalgae,5
southwater,2024,2,sponge,1
southwater,2024,2,other,19
lagoon,2024,1,hard coral,0
lagoon,2024,1,soft coral,7
lagoon,2024,1,macroalgae,1
lagoon,2024,1,sponge,7
lagoon,2024,1,other,25
lagoon,2024,2,hard coral,1
lagoon,2024,2,soft coral,0
lagoon,2024,2,macroalgae,6
lagoon,2024,2,sponge,7
lagoon,2024,2,other,26
