site,year,transect,species,count
sr 30S,2022,1,Dipl. strigosa,2
sr 30S,2022,1,Eusmilia fast.,
sr 30S,2022,1,Favia fragum,
sr 30S,2022,1,Isophyllia,
sr 30S,2022,1,Helio cuc.,2
sr 30S,2022,1,Madracis mir.,
sr 30S,2022,1,Madracis decac.,
sr 30S,2022,1,Meandrina mea.,
sr 30S,2022,1,M. cavernosa,1
sr 30S,2022,1,O. faveolata,4
sr 30S,2022,1,O. franksi,
sr 30S,2022,1,O. annularis,17
sr 30S,2022,1,Mycetophyllia,
sr 30S,2022,1,Orbicella,
sr 30S,2022,1,P. astreoides,34
sr 30S,2022,1,P. porites,34
sr 30S,2022,1,P. furcata,
sr 30S,2022,1,Sid. siderea,31
sr 30S,2022,1,Sid. radians,
sr 30S,2022,1,Stephanocoenia,1
sr 30S,2022,1,tot colonies,238
sr 30S,2022,2,Ag. agaricites,86
sr 30S,2022,2,Ag. tenufolia,11
sr 30S,2022,2,Ag fragilis,
sr 30S,2022,2,Ag humilis,
sr 30S,2022,2,Colpo. natans,
sr 30S,2022,2,Dichocoenia ,
sr 30S,2022,2,Dipl. clivosa,
sr 30S,2022,2,Dipl. labyrinth.,
sr 30S,2022,2,Dipl. strigosa,2
sr 30S,2022,2,Eusmilia fast.,
sr 30S,2022,2,Favia fragum,
sr 30S,2022,2,Isophyllia,
sr 30S,2022,2,Helio cuc.,
sr 30S,2022,2,Madracis mir.,
